Step,Action,Reasoning,Observation,Reward,Done
0,pickup,"I should pick up the key. It might be useful later.
ACTION: pickup","message:
f - a key.

language observation:
vertical wall far west
horizontal wall near south and southwest
tripe ration near westsouthwest
horizontal wall very near north and northwest
dark area very near east
vertical wall adjacent northeast and southeast
doorway adjacent east
tame little dog adjacent south

cursor:
Yourself a caveman
(x=19, y=16)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
           ---- -----                                                           
           |........|                                                           
           |.......@.                                                           
           |...%...d|                                                           
           |........                                                            
           ----------                                                           
                                                                                
                                                                                
Agent the Troglodyte           St:18/02 Dx:16 Co:14 In:8 Wi:9 Ch:8 Lawful S:0   
Dlvl:1 $:0 HP:18(18) Pw:1(1) AC:8 Xp:1/0 T:2                                    

",0.0,False
1,east,"Okay, I have the key. Now I should explore the dark area to the east.
ACTION: east","message:


language observation:
vertical wall far west
horizontal wall near southwest
tripe ration near westsouthwest
dark area very near east and southeast
tame little dog very near westsouthwest
horizontal wall very near northwest
vertical wall adjacent north and south
dark area adjacent northeast
stairs up adjacent west

cursor:
Yourself a caveman
(x=20, y=16)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
           ---- -----                                                           
           |........|                                                           
           |.......<@#                                                          
           |...%..d.|#                                                          
           |........                                                            
           ----------                                                           
                                                                                
                                                                                
Agent the Troglodyte           St:18/02 Dx:16 Co:14 In:8 Wi:9 Ch:8 Lawful S:0   
Dlvl:1 $:0 HP:18(18) Pw:1(1) AC:8 Xp:1/0 T:3                                    

",0.0,False
2,east,"I should explore the dark area to the east to find more items and monsters.
ACTION: east","message:


language observation:
tripe ration far westsouthwest
tame little dog near westsouthwest
dark area very near east, southeast, and south
stairs up very near west
dark area adjacent north and northeast
vertical wall adjacent southwest and northwest
doorway adjacent west

cursor:
Yourself a caveman
(x=21, y=16)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
           ---- -----                                                           
           |........|                                                           
           |.......<.@#                                                         
           |...%d...|##                                                         
           |........                                                            
           ----------                                                           
                                                                                
                                                                                
Agent the Troglodyte           St:18/02 Dx:16 Co:14 In:8 Wi:9 Ch:8 Lawful S:0   
Dlvl:1 $:0 HP:18(18) Pw:1(1) AC:8 Xp:1/0 T:4                                    

",0.0,False
3,east,"I should explore the dark area to the east to find more items and monsters.
ACTION: east","message:
Slasher eats a tripe ration.

language observation:
tame little dog far westsouthwest
horizontal wall near southwest
stairs up near west
dark area very near northeast, east, southeast, and south
doorway very near southwest and west
dark area adjacent north and northwest

cursor:
Yourself a caveman
(x=22, y=16)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
           ---- -----                                                           
           |........|  #                                                        
           |.......<.#@#                                                        
           |...d....|###                                                        
           |.........                                                           
           ----------                                                           
                                                                                
                                                                                
Agent the Troglodyte           St:18/02 Dx:16 Co:14 In:8 Wi:9 Ch:8 Lawful S:0   
Dlvl:1 $:0 HP:18(18) Pw:1(1) AC:8 Xp:1/0 T:5                                    

",0.0,False
4,east,"I should continue exploring the dark area to the east to find more items and monsters.
ACTION: east","message:


language observation:
tame little dog far westsouthwest
stairs up near west
doorway near west
dark area very near north, northeast, southeast, south, and southwest
dark area adjacent east and northwest

cursor:
Yourself a caveman
(x=23, y=16)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
           ---- -----                                                           
           |........|  ##                                                       
           |.......<.##@                                                        
           |...d....|####                                                       
           |.........                                                           
           ----------                                                           
                                                                                
                                                                                
Agent the Troglodyte           St:18/02 Dx:16 Co:14 In:8 Wi:9 Ch:8 Lawful S:0   
Dlvl:1 $:0 HP:18(18) Pw:1(1) AC:8 Xp:1/0 T:6                                    

",0.0,False
5,east,"I should continue exploring the dark area to the east to find more items and monsters.
ACTION: east","message:
It's solid stone.

language observation:
tame little dog far westsouthwest
stairs up near west
doorway near west
dark area very near north, northeast, southeast, south, and southwest
dark area adjacent east and northwest

cursor:
Yourself a caveman
(x=23, y=16)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
           ---- -----                                                           
           |........|  ##                                                       
           |.......<.##@                                                        
           |...d....|####                                                       
           |.........                                                           
           ----------                                                           
                                                                                
                                                                                
Agent the Troglodyte           St:18/02 Dx:16 Co:14 In:8 Wi:9 Ch:8 Lawful S:0   
Dlvl:1 $:0 HP:18(18) Pw:1(1) AC:8 Xp:1/0 T:6                                    

",0.0,False
6,south,"I hit a wall. I should explore the dark area to the south.
ACTION: south","message:


language observation:
tame little dog far westnorthwest
dark area near north
vertical wall near west
stairs up near westnorthwest
dark area very near east and northwest
dark area adjacent northeast, southeast, south, and southwest

cursor:
Yourself a caveman
(x=23, y=17)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
           ---- -----                                                           
           |........|  ##                                                       
           |.....d.<.###                                                        
           |........|##@#                                                       
           |.........                                                           
           ----------                                                           
                                                                                
                                                                                
Agent the Troglodyte           St:18/02 Dx:16 Co:14 In:8 Wi:9 Ch:8 Lawful S:0   
Dlvl:1 $:0 HP:18(18) Pw:1(1) AC:8 Xp:1/0 T:7                                    

",0.0,False
7,south,"I should explore the dark area to the south to find more items and monsters.
ACTION: south","message:
It's solid stone.

language observation:
tame little dog far westnorthwest
dark area near north
vertical wall near west
stairs up near westnorthwest
dark area very near east and northwest
dark area adjacent northeast, southeast, south, and southwest

cursor:
Yourself a caveman
(x=23, y=17)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
           ---- -----                                                           
           |........|  ##                                                       
           |.....d.<.###                                                        
           |........|##@#                                                       
           |.........                                                           
           ----------                                                           
                                                                                
                                                                                
Agent the Troglodyte           St:18/02 Dx:16 Co:14 In:8 Wi:9 Ch:8 Lawful S:0   
Dlvl:1 $:0 HP:18(18) Pw:1(1) AC:8 Xp:1/0 T:7                                    

",0.0,False
8,west,"I hit a wall again. I should explore the dark area to the west.
ACTION: west","message:


language observation:
dark area near northeast and east
tame little dog near westnorthwest
stairs up near westnorthwest
dark area very near north
southeast corner very near southwest
vertical wall very near west and northwest
dark area adjacent southeast and south

cursor:
Yourself a caveman
(x=22, y=17)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
           ---- -----                                                           
           |........|  ##                                                       
           |......d<.###                                                        
           |........|#@##                                                       
           |.........#                                                          
           ----------                                                           
                                                                                
                                                                                
Agent the Troglodyte           St:18/02 Dx:16 Co:14 In:8 Wi:9 Ch:8 Lawful S:0   
Dlvl:1 $:0 HP:18(18) Pw:1(1) AC:8 Xp:1/0 T:8                                    

",0.0,False
9,south,"I should explore the dark area to the south to find more items and monsters.
ACTION: south","message:
It's solid stone.

language observation:
dark area near northeast and east
tame little dog near westnorthwest
stairs up near westnorthwest
dark area very near north
southeast corner very near southwest
vertical wall very near west and northwest
dark area adjacent southeast and south

cursor:
Yourself a caveman
(x=22, y=17)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
           ---- -----                                                           
           |........|  ##                                                       
           |......d<.###                                                        
           |........|#@##                                                       
           |.........#                                                          
           ----------                                                           
                                                                                
                                                                                
Agent the Troglodyte           St:18/02 Dx:16 Co:14 In:8 Wi:9 Ch:8 Lawful S:0   
Dlvl:1 $:0 HP:18(18) Pw:1(1) AC:8 Xp:1/0 T:8                                    

",0.0,False
